Date,Open,High,Low,Close,Adj Close,Volume
30-01-2020,174.050003,174.050003,170.789993,172.779999,172.309357,51597500
31-01-2020,172.210007,172.399994,169.580002,170.229996,169.766296,36142700
01-02-2020,171.429993,175.5,170.399994,175.380005,173.904999,30149100
02-02-2020,171.429993,175.5,170.399994,175.380005,173.904999,30149100
03-02-2020,170.429993,174.5,170.399994,174.380005,173.904999,30149100
04-02-2020,177.139999,180.639999,176.309998,180.119995,179.629364,36433300
05-02-2020,184.029999,184.199997,178.410004,179.899994,179.409958,39186300
06-02-2020,180.970001,183.820007,180.059998,183.630005,183.129807,27751400
07-02-2020,182.850006,185.630005,182.479996,183.889999,183.389099,33529100
10-02-2020,183.580002,188.839996,183.25,188.699997,188.185989,35844300
11-02-2020,190.649994,190.699997,183.5,184.440002,183.937607,53159900
12-02-2020,185.580002,185.850006,181.850006,184.710007,184.206863,47062900
13-02-2020,183.080002,186.229996,182.869995,183.710007,183.209595,35295800
14-02-2020,183.25,185.410004,182.649994,185.350006,184.845123,23149500
18-02-2020,185.610001,187.699997,185.5,187.229996,186.720001,27792200
19-02-2020,188.059998,188.179993,186.470001,187.279999,187.279999,29997500
20-02-2020,186.949997,187.25,181.100006,184.419998,184.419998,36862400
21-02-2020,183.169998,183.5,177.25,178.589996,178.589996,48572600
24-02-2020,167.770004,174.550003,163.229996,170.889999,170.889999,68311100
25-02-2020,174.199997,174.839996,167.649994,168.070007,168.070007,68073300
26-02-2020,169.710007,173.259995,168.210007,170.169998,170.169998,56206100
27-02-2020,163.320007,167.029999,157.979996,158.179993,158.179993,93174900
28-02-2020,152.410004,163.710007,152,162.009995,162.009995,97073600
02-03-2020,165.309998,172.919998,162.309998,172.789993,172.789993,71030800
03-03-2020,173.800003,175,162.259995,164.509995,164.509995,71677000
04-03-2020,168.490005,170.699997,165.619995,170.550003,170.550003,49814400
05-03-2020,166.050003,170.869995,165.690002,166.270004,166.270004,47817300
06-03-2020,162.610001,163.110001,156,161.570007,161.570007,72821100
09-03-2020,151,157.75,150,150.619995,150.619995,70419300
10-03-2020,158.160004,161.029999,152.580002,160.919998,160.919998,65354400
11-03-2020,157.130005,157.699997,151.149994,153.630005,153.630005,56371600
12-03-2020,145.300003,153.470001,138.580002,139.059998,139.059998,93226400
13-03-2020,147.5,161.910004,140.729996,158.830002,158.830002,92727400
16-03-2020,140,149.350006,135,135.419998,135.419998,87905900
17-03-2020,140,147.5,135,146.570007,146.570007,81059800
18-03-2020,138,146,135.020004,140.399994,140.399994,81593200
19-03-2020,142.770004,150.149994,139,142.710007,142.710007,85922700
20-03-2020,146,147.100006,135.860001,137.350006,137.350006,84866200
23-03-2020,137.009995,140.570007,132.520004,135.979996,135.979996,78975200
24-03-2020,143.75,149.600006,141.270004,148.339996,148.339996,82516700
25-03-2020,148.910004,154.330002,144.440002,146.919998,146.919998,75638200
26-03-2020,148.399994,156.660004,148.369995,156.110001,156.110001,64568100
27-03-2020,151.75,154.889999,149.199997,149.699997,149.699997,57042300
30-03-2020,152.440002,160.600006,150.009995,160.229996,160.229996,63420300
31-03-2020,159.399994,164.779999,156.559998,157.710007,157.710007,77927200
01-04-2020,153,157.75,150.820007,152.110001,152.110001,57969900
02-04-2020,151.860001,155.479996,150.360001,155.259995,155.259995,49630700
03-04-2020,155.100006,157.380005,152.190002,153.830002,153.830002,41243300
06-04-2020,160.320007,166.5,157.580002,165.270004,165.270004,67111700
07-04-2020,169.589996,170,163.259995,163.490005,163.490005,62769000
08-04-2020,165.669998,166.669998,163.5,165.130005,165.130005,48318200
09-04-2020,166.360001,167.369995,163.330002,165.139999,165.139999,51431800
